Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
AnisotropicKuwaharaQualityLowDesc,,最も軽い設定です。半径が大きいと粗くなります。,Fastest. Becomes coarser at large radius.,最轻。半径较大时会变粗糙。,最輕。半徑較大時會變粗糙。,가장 가볍습니다. 반경이 크면 거칠어집니다.,El más rápido. Se vuelve más tosco con radios grandes.,الأخف. يصبح أخشن عند نصف القطر الكبير.,Paling ringan. Menjadi lebih kasar pada radius besar.
AnisotropicKuwaharaQualityMedium,,中,Medium,中,中,보통,Medio,متوسط,Sedang
AnisotropicKuwaharaQualityMediumDesc,,軽さと品質のバランスです。,A balance of speed and quality.,兼顾速度与质量的平衡。,兼顧速度與品質的平衡。,속도와 품질의 균형입니다.,Un equilibrio entre velocidad y calidad.,توازن بين السرعة والجودة.,Keseimbangan antara kecepatan dan kualitas.
AnisotropicKuwaharaQualityHigh,,高,High,高,高,높음,Alto,عالٍ,Tinggi
AnisotropicKuwaharaQualityHighDesc,,既定です。滑らかで綺麗な仕上がりです。,Default. Produces a smooth and clean result.,默认。呈现平滑干净的效果。,預設。呈現平滑乾淨的效果。,기본값입니다. 매끄럽고 깨끗한 결과가 됩니다.,Predeterminado. Produce un resultado suave y limpio.,الافتراضي. ينتج نتيجة ناعمة ونظيفة.,Bawaan. Menghasilkan hasil yang halus dan bersih.
AnisotropicKuwaharaQualityUltra,,最高,Ultra,最高,最高,최고,Máxima,فائقة,Ultra
AnisotropicKuwaharaQualityUltraDesc,,最も高品質ですが最も重い設定です。静止画や大きな半径向けです。,Highest quality but the heaviest. Best for stills or large radius.,最高质量但最重。适合静止画面或大半径。,最高品質但最重。適合靜止畫面或大半徑。,최고 품질이지만 가장 무겁습니다. 정지 화면이나 큰 반경에 적합합니다.,Máxima calidad pero la más pesada. Ideal para imágenes fijas o radios grandes.,أعلى جودة لكنها الأثقل. مناسبة للصور الثابتة أو نصف القطر الكبير.,Kualitas tertinggi tetapi paling berat. Cocok untuk gambar diam atau radius besar.
TagPainterly,,絵画調,painterly,绘画风,繪畫風,회화풍,pictórico,طابع تصويري,gaya lukisan
TagKuwahara,,クワハラ,kuwahara,桑原,桑原,구와하라,kuwahara,كواهارا,kuwahara
TagOilPainting,,油絵,oil painting,油画,油畫,유화,pintura al óleo,رسم زيتي,lukisan cat minyak
TagWatercolor,,水彩,watercolor,水彩,水彩,수채화,acuarela,ألوان مائية,cat air
