Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
SpreadAngleDesc,,射出方向を中心とした広がりの角度,Angle of spread around the emit direction.,以射出方向为中心的扩散角度。,以射出方向為中心的擴散角度。,사출 방향을 중심으로 한 퍼짐 각도.,Ángulo de apertura alrededor de la dirección de emisión.,زاوية الانتشار حول اتجاه الإطلاق.,Sudut sebaran di sekitar arah pancaran.
Speed,,初速,Initial speed,初速,初速,초기 속도,Velocidad inicial,السرعة الابتدائية,Kecepatan awal
SpeedDesc,,粒子の発生時の速さ,Speed of particles when emitted.,粒子发射时的速度。,粒子發射時的速度。,입자가 발생할 때의 속도.,Velocidad de las partículas al emitirse.,سرعة الجسيمات عند انبعاثها.,Kecepatan partikel saat dipancarkan.
Gravity,,重力,Gravity,重力,重力,중력,Gravedad,الجاذبية,Gravitasi
GravityDesc,,落下の終端速度（負の値で上昇）,Terminal falling speed. Negative values make particles rise.,下落的最终速度（负值时上升）。,下落的最終速度（負值時上升）。,낙하의 종단 속도(음수면 상승).,Velocidad terminal de caída. Los valores negativos hacen subir las partículas.,السرعة النهائية للسقوط. القيم السالبة تجعل الجسيمات ترتفع.,Kecepatan terminal jatuh. Nilai negatif membuat partikel naik.
WindAngle,,風向き,Wind direction,风向,風向,바람 방향,Dirección del viento,اتجاه الرياح,Arah angin
WindAngleDesc,,風が吹く方向,Direction in which the wind blows.,风吹的方向。,風吹的方向。,바람이 부는 방향.,Dirección en la que sopla el viento.,الاتجاه الذي تهب فيه الرياح.,Arah angin bertiup.
WindSpeed,,風速,Wind speed,风速,風速,풍속,Velocidad del viento,سرعة الرياح,Kecepatan angin
WindSpeedDesc,,風に流される終端速度,Terminal speed at which particles drift with the wind.,随风漂流的最终速度。,隨風漂流的最終速度。,바람에 흘러가는 종단 속도.,Velocidad terminal a la que las partículas derivan con el viento.,السرعة النهائية التي تنجرف بها الجسيمات مع الرياح.,Kecepatan terminal partikel terbawa angin.
Turbulence,,揺らぎ,Turbulence,扰动,擾動,흔들림,Turbulencia,اضطراب,Turbulensi
TurbulenceDesc,,軌道が渦を巻くように揺らぐ量,Amount by which trajectories swirl.,轨迹旋转扰动的程度。,軌跡旋轉擾動的程度。,궤도가 소용돌이치듯 흔들리는 정도.,Cantidad de remolino en las trayectorias.,مقدار تموج المسارات بشكل دوامي.,Besar lintasan berputar seperti pusaran.
Rotation,,回転,Rotation,旋转,旋轉,회전,Rotación,دوران,Rotasi
RotationDesc,,粒子の回転速度の最大値（粒子ごとにランダム）,Maximum rotation speed of particles. Randomized per particle.,粒子旋转速度的最大值（每个粒子随机）。,粒子旋轉速度的最大值（每個粒子隨機）。,입자 회전 속도의 최대값(입자마다 무작위).,Velocidad máxima de rotación de las partículas. Aleatoria por partícula.,أقصى سرعة دوران للجسيمات. عشوائية لكل جسيم.,Kecepatan rotasi maksimum partikel. Acak per partikel.
EndScale,,サイズ変化,End scale,大小变化,大小變化,크기 변화,Escala final,تغير الحجم,Perubahan ukuran
EndScaleDesc,,寿命が尽きるときの大きさ（発生時に対する割合）,Size at the end of the lifetime relative to the initial size.,寿命结束时的大小（相对于发射时的比例）。,壽命結束時的大小（相對於發射時的比例）。,수명이 다할 때의 크기(발생 시 대비 비율).,Tamaño al final de la vida útil en relación con el tamaño inicial.,الحجم عند نهاية العمر بالنسبة إلى الحجم الابتدائي.,Ukuran di akhir masa hidup relatif terhadap ukuran awal.
Fade,,フェード,Fade,淡出,淡出,페이드,Desvanecimiento,تلاشي,Pudar
FadeDesc,,寿命の終わりで粒子を透明にする量,Amount by which particles fade out at the end of their lifetime.,粒子在寿命结束时变透明的程度。,粒子在壽命結束時變透明的程度。,수명이 끝날 때 입자가 투명해지는 정도.,Cantidad de desvanecimiento de las partículas al final de su vida útil.,مقدار تلاشي الجسيمات عند نهاية عمرها.,Besar partikel memudar di akhir masa hidupnya.
EmitX,,X,X,X,X,X,X,X,X
EmitXDesc,,粒子が発生する位置のXオフセット（粒子は発生した瞬間の位置から飛ぶ）,X offset of the emission position. Particles fly from the position at the moment they are emitted.,粒子发射位置的X偏移（粒子从发射瞬间的位置飞出）。,粒子發射位置的X偏移（粒子從發射瞬間的位置飛出）。,입자가 발생하는 위치의 X 오프셋(입자는 발생한 순간의 위치에서 날아갑니다).,Desplazamiento X de la posición de emisión. Las partículas vuelan desde la posición del momento en que se emiten.,إزاحة X لموضع الانبعاث. تنطلق الجسيمات من موضع لحظة انبعاثها.,Offset X posisi emisi. Partikel terbang dari posisi saat dipancarkan.
EmitY,,Y,Y,Y,Y,Y,Y,Y,Y
EmitYDesc,,粒子が発生する位置のYオフセット（粒子は発生した瞬間の位置から飛ぶ）,Y offset of the emission position. Particles fly from the position at the moment they are emitted.,粒子发射位置的Y偏移（粒子从发射瞬间的位置飞出）。,粒子發射位置的Y偏移（粒子從發射瞬間的位置飛出）。,입자가 발생하는 위치의 Y 오프셋(입자는 발생한 순간의 위치에서 날아갑니다).,Desplazamiento Y de la posición de emisión. Las partículas vuelan desde la posición del momento en que se emiten.,إزاحة Y لموضع الانبعاث. تنطلق الجسيمات من موضع لحظة انبعاثها.,Offset Y posisi emisi. Partikel terbang dari posisi saat dipancarkan.
EmitZ,,Z,Z,Z,Z,Z,Z,Z,Z
EmitZDesc,,粒子が発生する位置のZオフセット（正の値ほど奥）,Z offset of the emission position. Positive values move particles farther away.,粒子发射位置的Z偏移（正值越大越远）。,粒子發射位置的Z偏移（正值越大越遠）。,입자가 발생하는 위치의 Z 오프셋(양수일수록 멀어집니다).,Desplazamiento Z de la posición de emisión. Los valores positivos alejan las partículas.,إزاحة Z لموضع الانبعاث. القيم الموجبة تبعد الجسيمات.,Offset Z posisi emisi. Nilai positif menjauhkan partikel.
EmitElevation,,射出仰角,Emit elevation,发射仰角,發射仰角,사출 고도각,Elevación de emisión,زاوية ارتفاع الإطلاق,Sudut elevasi pancaran
EmitElevationDesc,,粒子を上下方向へ射出する角度,Vertical angle at which particles are emitted.,粒子上下发射的角度。,粒子上下發射的角度。,입자를 위아래 방향으로 사출하는 각도.,Ángulo vertical de emisión de las partículas.,الزاوية الرأسية لإطلاق الجسيمات.,Sudut vertikal pancaran partikel.
ElevationSpreadAngle,,拡散仰角,Elevation spread angle,仰角扩散角,仰角擴散角,고도 확산각,Ángulo de dispersión de elevación,زاوية انتشار الارتفاع,Sudut sebaran elevasi
ElevationSpreadAngleDesc,,射出仰角を中心とした上下方向の広がり,Vertical spread around the emit elevation.,以发射仰角为中心的上下扩散范围。,以發射仰角為中心的上下擴散範圍。,사출 고도각을 중심으로 한 상하 방향의 퍼짐.,Dispersión vertical alrededor de la elevación de emisión.,الانتشار الرأسي حول زاوية ارتفاع الإطلاق.,Sebaran vertikal di sekitar sudut elevasi.
Perspective,,遠近感,Perspective,透视,透視,원근감,Perspectiva,المنظور,Perspektif
PerspectiveDesc,,奥を小さく・手前を大きく見せる強さ（100%で焦点距離1000px相当）,Strength of perspective. At 100% the focal distance is equivalent to 1000 px.,远处缩小、近处放大的强度（100%相当于1000px焦距）。,遠處縮小、近處放大的強度（100%相當於1000px焦距）。,멀수록 작고 가까울수록 크게 보이게 하는 강도(100%는 초점 거리 1000px 상당).,Intensidad de la perspectiva. Al 100% la distancia focal equivale a 1000 px.,شدة المنظور. عند 100٪ تعادل المسافة البؤرية 1000 بكسل.,Kekuatan perspektif. Pada 100% jarak fokus setara 1000 px.
CurlStrength,,強さ,Strength,强度,強度,강도,Intensidad,الشدة,Kekuatan
CurlStrengthDesc,,うねりでは変位量(px)、流れでは1秒あたりの速さ(px/s),Displacement in Undulation mode (px) or speed in Flow mode (px/s).,起伏模式下为位移量(px)，流动模式下为每秒速度(px/s)。,起伏模式下為位移量(px)，流動模式下為每秒速度(px/s)。,물결 모드에서는 변위량(px)이고 흐름 모드에서는 초당 속도(px/s)입니다.,Desplazamiento en el modo Ondulación (px) o velocidad en el modo Flujo (px/s).,الإزاحة في وضع التموج (px) أو السرعة في وضع التدفق (px/s).,Perpindahan dalam mode Gelombang (px) atau kecepatan dalam mode Aliran (px/s).
CurlScale,,大きさ,Size,大小,大小,크기,Tamaño,الحجم,Ukuran
CurlScaleDesc,,乱流の渦の代表的な大きさ,Representative size of turbulence vortices.,湍流涡旋的代表大小。,湍流渦旋的代表大小。,난류 소용돌이의 대표 크기.,Tamaño representativo de los remolinos de turbulencia.,الحجم النموذجي لدوامات الاضطراب.,Ukuran umum pusaran turbulensi.
CurlSpeed,,変化速度,Evolution speed,演化速度,演化速度,변화 속도,Velocidad de evolución,سرعة التغير,Kecepatan evolusi
CurlSpeedDesc,,乱流の模様が時間とともに変化する速さ,Speed at which the turbulence pattern evolves over time.,湍流图案随时间演化的速度。,湍流圖樣隨時間演化的速度。,난류 무늬가 시간에 따라 변화하는 속도입니다.,Velocidad a la que el patrón de turbulencia evoluciona con el tiempo.,سرعة تغير نمط الاضطراب بمرور الوقت.,Kecepatan pola turbulensi berevolusi seiring waktu.
CurlType,,タイプ,Type,类型,類型,유형,Tipo,النوع,Tipe
CurlTypeDesc,,カール乱流をうねりとして加えるか流れ場として積分するかを選択,Choose whether curl turbulence is added as undulation or integrated as a flow field.,选择将卷曲湍流作为起伏添加还是作为流场积分。,選擇將捲曲亂流作為起伏加入還是作為流場積分。,컬 난류를 물결로 더할지 흐름장으로 적분할지 선택합니다.,Elige si la turbulencia curl se añade como ondulación o se integra como un campo de flujo.,اختر ما إذا كان اضطراب الالتفاف يضاف كتموج أو يدمج كمجال تدفق.,Pilih apakah turbulensi curl ditambahkan sebagai gelombang atau diintegrasikan sebagai medan aliran.
CurlTypeDisplacement,,うねり,Undulation,起伏,起伏,물결,Ondulación,تموج,Gelombang
CurlTypeAdvection,,流れ,Flow,流动,流動,흐름,Flujo,تدفق,Aliran
