Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
OverwriteConfirmMessage,0: name,同じ名前の参照音声「{0}」が既に存在します。上書きしますか？,"A reference voice ""{0}"" already exists. Overwrite?",同名的参考音频「{0}」已存在。是否覆盖？,同名的參考音頻「{0}」已存在。是否覆蓋？,"같은 이름의 참조 음성 ""{0}""이(가) 이미 존재합니다. 덮어쓰시겠습니까?","Ya existe una voz de referencia ""{0}"". ¿Sobrescribir?","يوجد صوت مرجعي بنفس الاسم ""{0}"" بالفعل. هل تريد الكتابة فوقه؟","Suara referensi dengan nama ""{0}"" sudah ada. Timpa?",
Saving,,保存中...,Saving...,保存中...,儲存中...,저장 중...,Guardando...,جارٍ الحفظ...,Menyimpan...,
Checkpoint,,モデル（任意）,Model (Optional),模型（可选）,模型（可選）,모델 (선택),Modelo (Opcional),النموذج (اختياري),Model (Opsional),
CheckpointDesc,,未選択時はデフォルトのモデルを使用します,Uses default model when not selected,未选择时使用默认模型,未選擇時使用預設模型,미선택 시 기본 모델을 사용합니다,Usa el modelo predeterminado cuando no se selecciona,يستخدم النموذج الافتراضي عند عدم التحديد,Menggunakan model default jika tidak dipilih,
EmojiPaletteButton,,絵文字,Emoji,表情,表情,이모지,Emoji,إيموجي,Emoji,
Regenerate,,再生成,Regenerate,重新生成,重新生成,재생성,Regenerar,إعادة التوليد,Regenerasi,
Emoji_Whisper,,囁き・耳元の音,Whisper / ASMR,耳语・耳边声,耳語・耳邊聲,속삭임・귀 옆 소리,Susurro / ASMR,همس / أصوات قريبة من الأذن,Bisikan / ASMR,
Emoji_Sigh,,吐息・溜息・寝息,Breath / Sigh,叹气・呼吸声,嘆氣・呼吸聲,한숨・숨소리,Suspiro / Respiración,تنفس / تنهيد,Napas / Desahan,
Emoji_Pause,,間・沈黙,Pause / Silence,停顿・沉默,停頓・沉默,쉼・침묵,Pausa / Silencio,توقف / صمت,Jeda / Keheningan,
Emoji_Laugh,,笑い,Chuckle / Giggle,笑声,笑聲,웃음,Risa,ضحك,Tawa,
Emoji_Panting,,喘ぎ・うめき声,Panting / Moan,喘息・呻吟,喘息・呻吟,헐떡임・신음,Jadeo / Gemido,لهاث / أنين,Terengah / Erangan,
Emoji_Echo,,エコー・リバーブ,Echo / Reverb,回声・混响,回聲・混響,에코・리버브,Eco / Reverberación,صدى / ترددصوتي,Gema / Reverb,
Emoji_Teasing,,からかう・甘える,Teasing / Coaxing,调侃・撒娇,調侃・撒嬌,놀리기・애교,Burlón / Coqueto,مداعبة / تدلل,Menggoda / Manja,
Emoji_Trembling,,声を震わせる・自信なさげ,Trembling voice / Timidly,颤抖的声音,顫抖的聲音,떨리는 목소리,Voz temblorosa,صوت مرتجف,Suara gemetar,
Emoji_HeavyBreathing,,息切れ・荒い息遣い,Heavy breathing,气喘吁吁,氣喘吁吁,거친 숨,Respiración pesada,تنفس ثقيل,Napas berat,
Emoji_Gasp,,息をのむ,Gasp,倒吸一口气,倒吸一口氣,숨을 삼키다,Jadeo,شهقة,Terkesiap,
Emoji_Licking,,舐める音・水音,Licking / Wet sound,舔舐声・水声,舔舐聲・水聲,핥는 소리・물소리,Sonido de lamer,صوت لعق / صوت مائي,Suara menjilat,
Emoji_LipNoise,,リップノイズ,Lip noise,唇音,唇音,입술 소리,Ruido de labios,صوت الشفاه,Suara bibir,
Emoji_Gently,,優しく,Gently / Tenderly,温柔地,溫柔地,부드럽게,Suavemente,بلطف,Dengan lembut,
Emoji_Crying,,嗚咽・泣き声,Sobbing / Crying,呜咽・哭泣,嗚咽・哭泣,흐느낌・울음,Sollozo / Llanto,بكا�� / نحيب,Isak tangis,
Emoji_Scream,,悲鳴・叫び,Scream / Shout,尖叫,尖叫,비명・외침,Grito,صراخ,Jeritan,
Emoji_Sleepy,,眠そう・気だるげ,Sleepily / Languidly,困倦地,困倦地,졸린 듯이,Somnoliento,بنعاس,Mengantuk,
Emoji_FastSpeaking,,早口,Fast-speaking,快速说话,快速說話,빠른 말,Hablar rápido,كلام سريع,Bicara cepat,
Emoji_Phone,,電話越し,Over the phone,电话声,電話聲,전화 너머,Por teléfono,عبر الهاتف,Melalui telepon,
Emoji_Slowly,,ゆっくり,Slowly,慢慢地,慢慢地,천천히,Lentamente,ببطء,Perlahan,
Emoji_Gulp,,唾を飲む音,Gulp / Swallowing,吞咽声,吞嚥聲,삼키는 소리,Tragar,صوت بلع,Suara menelan,
Emoji_Coughing,,咳・くしゃみ,Coughing / Sneezing,咳嗽・打喷嚏,咳嗽・打噴嚏,기침・재채기,Tos / Estornudo,سعال / عطس,Batuk / Bersin,
Emoji_Tutting,,舌打ち,Tutting / Clicking tongue,啧啧声,嘖嘖聲,혀 차기,Chasquido de lengua,طقطقة اللسان,Decak lidah,
Emoji_Panicked,,慌て・動揺・どもり,Panicked / Stuttering,慌张・结巴,慌張・結巴,당황・말더듬,Pánico / Tartamudeo,ارتباك / تلعثم,Panik / Gagap,
Emoji_Joyful,,喜び,Joyfully,高兴地,高興地,기쁘게,Alegremente,بفرح,Dengan gembira,
Emoji_Angry,,怒り・不満,Angry / Displeased,愤怒,憤怒,화남,Enojado,غضب,Marah,
Emoji_Surprise,,驚き・感嘆,Surprise / Awe,惊讶,驚訝,놀람,Sorpresa,مفاجأة,Terkejut,
Emoji_Yawn,,あくび,Yawn,打哈欠,打哈欠,하품,Bostezo,تثاؤب,Menguap,
Emoji_Painful,,苦しげ,Painfully,痛苦地,痛苦地,괴롭게,Dolorosamente,بألم,Dengan menyakitkan,
Emoji_Worried,,心配そう,Worriedly,担心地,擔心地,걱정스럽게,Preocupado,بقلق,Dengan khawatir,
Emoji_Shy,,恥ずかしそう・照れ,Shyly / Bashfully,害羞地,害羞地,수줍게,Tímidamente,بخجل,Dengan malu,
Emoji_Exasperated,,呆れたように,Exasperatedly,无奈地,無奈地,어이없게,Exasperado,باستياء,Dengan jengkel,
Emoji_Cheerful,,楽しげ・嬉しそう,Cheerfully,开心地,開心地,즐겁게,Alegremente,بمرح,Dengan riang,
Emoji_Agreement,,相槌・頷き,Agreement / Nodding,附和・点头,附和・點頭,맞장구,Asentimiento,موافقة,Anggukan,
Emoji_Pleading,,懇願するように,Pleadingly,恳求地,懇求地,간청하듯,Suplicante,بتوسل,Dengan memohon,
Emoji_Drunk,,酔っ払って,Drunkenly,醉酒地,醉酒地,취해서,Borracho,بسكر,Mabuk,
Emoji_Humming,,鼻歌,Humming,哼歌,哼歌,콧노래,Tarareo,همهمة,Bersenandung,
Emoji_Muffled,,口を塞がれて,Muffled,被捂住嘴,被摀住嘴,입이 막혀서,Amortiguado,مكتوم,Teredam,
Emoji_Relieved,,安堵・満足,Relieved / Contented,安心・满足,安心・滿足,안도・만족,Aliviado,مرتاح,Lega,
Emoji_Questioning,,疑問の声,Questioning,疑问的声音,疑問的聲音,의문의 소리,Cuestionando,صوت استفهام,Suara bertanya,
