Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ThreadsAutoNote,,0で全コアを使用します。,0 = use all CPU cores.,0 为使用全部 CPU 核心。,0 為使用全部 CPU 核心。,0 = 모든 CPU 코어를 사용합니다.,0 = usar todos los núcleos de CPU.,0 = استخدام جميع أنوية المعالج.,0 = gunakan semua inti CPU.,
GOPSize,,GOPサイズ,GOP Size,GOP 大小,GOP 大小,GOP 크기,Tamaño de GOP,حجم GOP,Ukuran GOP,
GOPSizeAutoNote,,0で自動設定します。,0 = automatic.,0 为自动设置。,0 為自動設定。,0 = 자동 설정합니다.,0 = automático.,0 = تلقائي.,0 = otomatis.,
BFrameCount,,Bフレーム数,B-Frame Count,B帧数,B畫格數,B프레임 수,Número de fotogramas B,عدد إطارات B,Jumlah B-Frame,
H264Profile,,H.264プロファイル,H.264 Profile,H.264 配置,H.264 設定檔,H.264 프로파일,Perfil H.264,ملف H.264 الشخصي,Profil H.264,
H264ProfileBaseline,,Baseline（互換性重視）,Baseline (Compatibility),Baseline（兼容性优先）,Baseline（相容性優先）,Baseline（호환성 우선）,Baseline (compatibilidad),Baseline (التوافق),Baseline (Kompatibilitas),
H264ProfileBaselineDesc,,互換性最優先のプロファイルです。BフレームとCABACは無効になります。,Maximizes compatibility. B-frames and CABAC are disabled.,以兼容性为优先。禁用 B 帧和 CABAC。,以相容性為優先。停用 B 畫格與 CABAC。,호환성을 최우선합니다. B프레임과 CABAC은 비활성화됩니다.,Maximiza la compatibilidad. Los fotogramas B y CABAC se desactivan.,يعطي الأولوية للتوافق. يتم تعطيل إطارات B و CABAC.,Memaksimalkan kompatibilitas. B-frame dan CABAC dinonaktifkan.,
H264ProfileMain,,Main（標準）,Main (Standard),Main（标准）,Main（標準）,Main（표준）,Main (estándar),Main (قياسي),Main (Standar),
H264ProfileMainDesc,,標準的な画質と互換性のバランスを取ったプロファイルです。,Balanced quality and compatibility.,在画质与兼容性之间取得平衡。,在畫質與相容性之間取得平衡。,화질과 호환성의 균형을 맞춘 프로파일입니다.,Calidad y compatibilidad equilibradas.,توازن بين الجودة والتوافق.,Kualitas dan kompatibilitas yang seimbang.,
H264ProfileHigh,,High（高画質・推奨）,High (Recommended),High（高画质・推荐）,High（高畫質・建議）,High（고화질・권장）,High (recomendado),High (موصى به),High (Direkomendasikan),
H264ProfileHighDesc,,最高画質のプロファイルです。通常はこちらを推奨します。,Highest quality profile. Recommended for most uses.,画质最高的配置。通常推荐使用。,畫質最高的設定檔。一般建議使用。,최고 화질 프로파일입니다. 일반적으로 권장됩니다.,Perfil de máxima calidad. Recomendado para la mayoría de los usos.,أعلى جودة. موصى به لمعظم الاستخدامات.,Profil kualitas tertinggi. Direkomendasikan untuk sebagian besar penggunaan.,
H264Level,,H.264レベル,H.264 Level,H.264 级别,H.264 等級,H.264 레벨,Nivel H.264,مستوى H.264,Level H.264,
H264LevelAutoNote,,自動でエンコーダが最適なレベルを選択します。,Auto lets the encoder choose the optimal level.,自动模式下编码器选择最佳级别。,自動模式下編碼器選擇最佳等級。,자동 시 인코더가 최적 레벨을 선택합니다.,En automático el codificador elige el nivel óptimo.,في الوضع التلقائي يختار المرمّز المستوى الأمثل.,Otomatis membiarkan enkoder memilih level optimal.,
HardwareAcceleration,,ハードウェアエンコード,Hardware Encoding,硬件编码,硬體編碼,하드웨어 인코딩,Codificación por hardware,الترميز بالعتاد,Enkode Perangkat Keras,
HardwareAccelerationNote,,GPUのエンコーダを使用します。利用できない環境では自動的にソフトウェアへ切り替わります。,Uses the GPU encoder. Falls back to software automatically when unavailable.,使用 GPU 编码器。不可用时自动切换为软件编码。,使用 GPU 編碼器。無法使用時自動切換為軟體編碼。,GPU 인코더를 사용합니다. 사용할 수 없는 환경에서는 자동으로 소프트웨어로 전환됩니다.,Usa el codificador de la GPU. Cambia automáticamente a software cuando no está disponible.,يستخدم مرمّز GPU. يتحول تلقائيًا إلى البرمجيات عند عدم توفره.,Menggunakan enkoder GPU. Beralih otomatis ke perangkat lunak jika tidak tersedia.,
AudioSettings,,音声設定,Audio Settings,音频设置,音訊設定,오디오 설정,Configuración de audio,إعدادات الصوت,Pengaturan Audio,
AudioBitRate,,音声ビットレート,Audio Bit Rate,音频码率,音訊位元率,오디오 비트레이트,Tasa de bits de audio,معدل بت الصوت,Laju Bit Audio,
AACProfile,,AACプロファイル,AAC Profile,AAC 配置,AAC 設定檔,AAC 프로파일,Perfil AAC,ملف AAC الشخصي,Profil AAC,
WriteFailed,,MediaFoundationへの書き込み中にエラーが発生しました。,An error occurred while writing to MediaFoundation.,写入 MediaFoundation 时发生错误。,寫入 MediaFoundation 時發生錯誤。,MediaFoundation에 쓰는 중 오류가 발생했습니다.,Se produjo un error al escribir en MediaFoundation.,حدث خطأ أثناء الكتابة إلى MediaFoundation.,Terjadi kesalahan saat menulis ke MediaFoundation.,
HardwareFallback,,ハードウェアエンコーダの初期化に失敗したため、ソフトウェアエンコードへフォールバックしました。,Hardware encoder initialization failed; falling back to software encoding.,硬件编码器初始化失败，已回退到软件编码。,硬體編碼器初始化失敗，已退回到軟體編碼。,하드웨어 인코더 초기화에 실패하여 소프트웨어 인코딩으로 폴백했습니다.,Falló la inicialización del codificador de hardware; recurriendo a la codificación por software.,فشل تهيئة مرمّز العتاد؛ الرجوع إلى الترميز البرمجي.,Inisialisasi enkoder perangkat keras gagal; fallback ke enkode perangkat lunak.,
H264LevelAuto,,自動,Auto,自动,自動,자동,Automático,تلقائي,Otomatis,
H264Level1,,1,1,1,1,1,1,1,1,
H264Level1_1,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,
H264Level1_2,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
H264Level1_3,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,
H264Level2,,2,2,2,2,2,2,2,2,
H264Level2_1,,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,
H264Level2_2,,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,
H264Level3,,3,3,3,3,3,3,3,3,
H264Level3_1,,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,
H264Level3_2,,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,
H264Level4,,4,4,4,4,4,4,4,4,
H264Level4_1,,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,
H264Level4_2,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,
H264Level5,,5,5,5,5,5,5,5,5,
H264Level5_1,,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,
H264Level5_2,,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,
AACProfileL2,,AAC-LC L2,AAC-LC L2,AAC-LC L2,AAC-LC L2,AAC-LC L2,AAC-LC L2,AAC-LC L2,AAC-LC L2,
AACProfileL4,,AAC-LC L4,AAC-LC L4,AAC-LC L4,AAC-LC L4,AAC-LC L4,AAC-LC L4,AAC-LC L4,AAC-LC L4,
AACProfileL5,,AAC-LC L5,AAC-LC L5,AAC-LC L5,AAC-LC L5,AAC-LC L5,AAC-LC L5,AAC-LC L5,AAC-LC L5,
AudioBitRate192,,192kbps,192kbps,192kbps,192kbps,192kbps,192kbps,192kbps,192kbps,
AudioBitRate160,,160kbps,160kbps,160kbps,160kbps,160kbps,160kbps,160kbps,160kbps,
AudioBitRate128,,128kbps,128kbps,128kbps,128kbps,128kbps,128kbps,128kbps,128kbps,
AudioBitRate96,,96kbps,96kbps,96kbps,96kbps,96kbps,96kbps,96kbps,96kbps,
