Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
HeatHazeScaleDesc,,ノイズパターンの大きさを調整します。値が小さいほど細かく 大きいほど粗くなります。,Adjusts the size of the noise pattern. Smaller values produce finer detail; larger values produce coarser patterns.,调整噪声图案的大小。值越小越细 越大越粗。,調整噪聲圖案的大小。值越小越細 越大越粗。,노이즈 패턴의 크기를 조정합니다. 값이 작을수록 세밀하고 클수록 거칠어집니다.,Ajusta el tamaño del patrón de ruido. Valores más pequeños producen más detalle; más grandes producen patrones más gruesos.,يضبط حجم نمط الضوضاء. القيم الأصغر تنتج تفاصيل أدق والأكبر تنتج أنماطًا أخشن.,Menyesuaikan ukuran pola noise. Nilai lebih kecil menghasilkan detail lebih halus; lebih besar menghasilkan pola lebih kasar.
HeatHazeFlowSpeedName,,流れの速さ,Flow Speed,流速,流速,흐름 속도,Velocidad de flujo,سرعة التدفق,Kecepatan Aliran
HeatHazeFlowSpeedDesc,,歪みパターン全体が移動する速度を制御します。,Controls the speed at which the entire distortion pattern drifts.,控制整个失真图案的移动速度。,控制整個失真圖案的移動速度。,전체 왜곡 패턴이 이동하는 속도를 제어합니다.,Controla la velocidad de desplazamiento del patrón de distorsión.,يتحكم في سرعة انجراف نمط التشويه بأكمله.,Mengontrol kecepatan pergeseran seluruh pola distorsi.
HeatHazeBoilSpeedName,,うねりの速さ,Boil Speed,沸腾速度,沸騰速度,끓는 속도,Velocidad de ebullición,سرعة الغليان,Kecepatan Mendidih
HeatHazeBoilSpeedDesc,,歪みパターンがその場で変化する速度を制御します。,Controls the speed at which the distortion pattern evolves in place.,控制失真图案就地变化的速度。,控制失真圖案就地變化的速度。,왜곡 패턴이 제자리에서 변경되는 속도를 제어합니다.,Controla la velocidad de evolución del patrón de distorsión en su lugar.,يتحكم في سرعة تطور نمط التشويه في مكانه.,Mengontrol kecepatan evolusi pola distorsi di tempat.
HeatHazeCommonSettingsGroup,,共通設定,Common Settings,共通设定,共通設定,공통 설정,Configuración común,الإعدادات العامة,Pengaturan Umum
HeatHazeAngleName,,揺らぎの方向,Direction,方向,方向,방향,Dirección,الاتجاه,Arah
HeatHazeAngleDesc,,熱揺らぎの流れる方向を角度で指定します（90°が上方向 現実の熱気流を模倣します）。,Specifies the direction of the heat shimmer flow in degrees (90° is upward mimicking real thermal convection).,以角度指定热浪的流动方向（90°为向上 模仿真实的热对流）。,以角度指定熱浪的流動方向（90°為向上 模仿真實的熱對流）。,열 흔들림의 흐름 방향을 각도로 지정합니다 (90°가 위쪽 실제 열 대류를 모방합니다).,Especifica la dirección del flujo de calor en grados (90° es hacia arriba imitando la convección térmica real).,يحدد اتجاه تدفق الوهج الحراري بالدرجات (90 درجة للأعلى تقليدًا لحمل الحرارة الحقيقي).,Menentukan arah aliran kilau panas dalam derajat (90° adalah ke atas meniru konveksi termal nyata).
HeatHazeChromaticAberrationName,,色収差,Chromatic Aberration,色差,色差,색수차,Aberración cromática,انحراف لوني,Aberasi Kromatik
HeatHazeChromaticAberrationDesc,,歪みに伴うRGBの色ズレの強さを調整します。,Adjusts the strength of the RGB color shift caused by the distortion.,调整因失真引起的RGB颜色偏移的强度。,調整因失真引起的RGB顏色偏移強度。,왜곡으로 인한 RGB 색수차의 강도를 조정합니다.,Ajusta la intensidad del desplazamiento de color RGB causado por la distorsión.,يضبط قوة إزاحة لون RGB الناجمة عن التشويه.,Menyesuaikan kekuatan pergeseran warna RGB yang disebabkan oleh distorsi.
HeatHazeEnableBlurName,,連動ブラー,Linked Blur,联动模糊,聯動模糊,연동 블러,Desenfoque vinculado,تمويه مرتبط,Blur Tertaut
HeatHazeEnableBlurDesc,,オンにすると歪みの強さに応じて映像が僅かにぼやけます。,When enabled the image blurs slightly proportional to the distortion strength.,开启后图像会根据失真强度略微模糊。,開啟後圖像會根據失真強度略微模糊。,켜면 왜곡 강도에 비례하여 이미지가 약간 흐려집니다.,Cuando está activado la imagen se desenfoca ligeramente en proporción a la intensidad de distorsión.,عند التفعيل تصبح الصورة ضبابية قليلًا بما يتناسب مع شدة التشويه.,Saat diaktifkan gambar sedikit buram sebanding dengan kekuatan distorsi.
HeatHazeBlurStrengthName,,ブラーの強さ,Blur Strength,模糊强度,模糊強度,블러 강도,Fuerza de desenfoque,قوة التمويه,Kekuatan Buram
HeatHazeBlurStrengthDesc,,歪みに連動するぼかしの強さを調整します。,Adjusts the intensity of the blur linked to the distortion.,调整与失真相关的模糊强度。,調整與失真相關的模糊強度。,왜곡과 연동된 블러의 강도를 조정합니다.,Ajusta la intensidad del desenfoque vinculado a la distorsión.,يضبط شدة التمويه المرتبط بالتشويه.,Menyesuaikan intensitas blur yang terkait dengan distorsi.
TagHeatHaze,,熱揺らぎ,heat haze,热浪,熱浪,아지랑이,bruma de calor,تلألؤ حراري,kilau panas
TagDistortion,,歪み,distortion,失真,失真,왜곡,distorsión,تشويه,distorsi
TagHeatShimmer,,陽炎,heat shimmer,热闪烁,熱閃爍,아지랑이,shimmer de calor,وهج حراري,kilau panas
