Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
CrossHatchShadingStyleEngravingDesc,,版画や紙幣風の斜め線です。,Slanted lines for engraving and banknote looks.,版画与纸币风格的斜线。,版畫與紙幣風格的斜線。,판화와 지폐풍 사선입니다.,Líneas inclinadas estilo grabado y billete.,خطوط مائلة بأسلوب النقش والأوراق النقدية.,Garis miring gaya ukiran dan uang kertas.
CrossHatchShadingStyleManga,,漫画,Manga,漫画,漫畫,만화,Manga,مانغا,Manga
CrossHatchShadingStyleMangaDesc,,漫画背景向けの陰影トーンです。,Shading tone for manga backgrounds.,适合漫画背景的阴影网点。,適合漫畫背景的陰影網點。,만화 배경용 음영 톤입니다.,Tono de sombreado para fondos de manga.,درجة تظليل لخلفيات المانغا.,Nada bayangan untuk latar manga.
CrossHatchShadingStyleBlueprint,,設計図,Blueprint,蓝图,藍圖,청사진,Plano,مخطط أزرق,Cetak Biru
CrossHatchShadingStyleBlueprintDesc,,設計図や技術資料風の直交線です。,Orthogonal lines for technical drawings.,设计图与技术资料风格的正交线。,設計圖與技術資料風格的正交線。,설계도와 기술 자료풍 직교선입니다.,Líneas ortogonales para dibujos técnicos.,خطوط متعامدة للرسومات التقنية.,Garis ortogonal untuk gambar teknik.
CrossHatchShadingColorModeInkAndPaper,,インクと紙,Ink and Paper,墨与纸,墨與紙,잉크와 종이,Tinta y papel,الحبر والورق,Tinta dan Kertas
CrossHatchShadingColorModeInkAndPaperDesc,,紙色とインク色だけで描きます。,Draws using only paper and ink colors.,仅用纸色与墨色绘制。,僅用紙色與墨色繪製。,종이색과 잉크색만으로 그립니다.,Dibuja solo con colores de papel y tinta.,يرسم بلوني الورق والحبر فقط.,Menggambar hanya dengan warna kertas dan tinta.
CrossHatchShadingColorModePreserveSource,,元の色を残す,Preserve Source,保留原色,保留原色,원본 색 유지,Conservar origen,الحفاظ على المصدر,Pertahankan Sumber
CrossHatchShadingColorModePreserveSourceDesc,,元映像の色を残してインク線を重ねます。,Keeps the source color and overlays ink lines.,保留原始颜色并叠加墨线。,保留原始顏色並疊加墨線。,원본 색을 남기고 잉크선을 덧그립니다.,Conserva el color original y superpone tinta.,يبقي اللون الأصلي ويضيف خطوط الحبر.,Menjaga warna asli dan menimpa garis tinta.
CrossHatchShadingLineLayersAuto,,自動,Auto,自动,自動,자동,Automático,تلقائي,Otomatis
CrossHatchShadingLineLayers1,,1,1,1,1,1,1,1,1
CrossHatchShadingLineLayers2,,2,2,2,2,2,2,2,2
CrossHatchShadingLineLayers3,,3,3,3,3,3,3,3,3
CrossHatchShadingLineLayers4,,4,4,4,4,4,4,4,4
TagCrossHatch,,クロスハッチ,cross hatch,交叉排线,交叉排線,크로스해치,trama cruzada,تظليل متقاطع,arsir silang
TagHatching,,ハッチング,hatching,排线,排線,해칭,trama,تظليل,arsir
TagPen,,ペン画,pen drawing,钢笔画,鋼筆畫,펜화,dibujo a pluma,رسم بالقلم,gambar pena
TagEngraving,,版画,engraving,版画,版畫,판화,grabado,نقش,ukiran
TagBlueprint,,設計図,blueprint,蓝图,藍圖,청사진,plano,مخطط أزرق,cetak biru
TagManga,,漫画,manga,漫画,漫畫,만화,manga,مانغا,manga
