Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
SelfShadowDesc,,凹凸が光を遮る影を描画します。,Draws shadows where surface relief blocks the light.,绘制凹凸遮挡光线形成的阴影。,繪製凹凸遮擋光線形成的陰影。,요철이 빛을 가리는 그림자를 그립니다.,Dibuja sombras donde el relieve bloquea la luz.,يرسم ظلالا حيث تحجب التضاريس الضوء.,Menggambar bayangan saat relief menghalangi cahaya.,
SelfShadowStrength,,自己遮蔽,Self Shadow,自阴影,自陰影,자체 그림자,Autosombra,الظل الذاتي,Bayangan diri,
AmbientOcclusionDesc,,くぼみに軽量な環境遮蔽の陰影を追加します。,Adds lightweight ambient occlusion shading to cavities.,为凹陷添加轻量环境光遮蔽阴影。,為凹陷添加輕量環境光遮蔽陰影。,홈에 가벼운 앰비언트 오클루전 음영을 추가합니다.,Añade oclusión ambiental ligera en cavidades.,يضيف تظليل حجب محيطي خفيف للتجاويف.,Menambahkan bayangan oklusi ambien ringan pada cekungan.,
AmbientOcclusionStrength,,落ち影,Drop Shadow,投影,落影,그림자,Sombra paralela,ظل ساقط,Bayangan jatuh,
OcclusionDistance,,探索距離,Search Distance,搜索距离,搜尋距離,탐색 거리,Distancia de búsqueda,مسافة البحث,Jarak pencarian,
OcclusionBias,,バイアス,Bias,偏移,偏移,바이어스,Sesgo,الانحياز,Bias,
OcclusionSoftness,,ぼかし,Softness,柔和度,柔和度,부드러움,Suavidad,النعومة,Kelembutan,
OcclusionQuality,,品質,Quality,质量,品質,품질,Calidad,الجودة,Kualitas,
OcclusionQualityLow,,低,Low,低,低,낮음,Baja,منخفضة,Rendah,
OcclusionQualityMedium,,中,Medium,中,中,중간,Media,متوسطة,Sedang,
OcclusionQualityHigh,,高,High,高,高,높음,Alta,عالية,Tinggi,
